ID,Name,Status,Similarity,Photo,Timestamp
ID001,Courtois,Absent,,,2025-08-14 13:04:35
ID005,Kroos,Absent,,,2025-08-14 13:04:35
Unknown,Unknown,Unknown,0.1,"[[[ 31  33  22]
  [ 36  33  18]
  [ 40  29   9]
  ...
  [ 42  27  32]
  [ 38  28  39]
  [ 94  90 105]]

 [[ 32  30  18]
  [ 40  31  14]
  [ 60  44  21]
  ...
  [ 57  37  39]
  [ 33  20  29]
  [ 38  30  43]]

 [[ 33  27  15]
  [ 53  40  21]
  [ 91  71  46]
  ...
  [121  99 101]
  [ 50  35  42]
  [ 12   2  13]]

 ...

 [[117  95  71]
  [157 127  91]
  [161 124  79]
  ...
  [140 131 116]
  [112 111 106]
  [ 93 101 104]]

 [[168 145 114]
  [163 130  89]
  [176 135  89]
  ...
  [141 133 120]
  [127 128 123]
  [120 130 132]]

 [[191 165 130]
  [159 125  80]
  [176 134  84]
  ...
  [140 134 122]
  [128 130 125]
  [120 130 132]]]",2025-08-14 13:07:24
Unknown,Unknown,Unknown,0.058,"[[[ 20  15  11]
  [ 33  23  13]
  [ 56  40  24]
  ...
  [ 40  28  12]
  [ 32  23   8]
  [ 35  29  17]]

 [[ 37  29  26]
  [ 49  36  27]
  [ 70  53  35]
  ...
  [ 50  38  22]
  [ 39  30  15]
  [ 44  36  23]]

 [[ 47  38  33]
  [ 55  41  30]
  [ 83  64  47]
  ...
  [ 67  54  37]
  [ 47  35  19]
  [ 49  41  28]]

 ...

 [[ 67  58  53]
  [116 107 102]
  [ 81  73  70]
  ...
  [111  83  46]
  [139 112  85]
  [157 130 113]]

 [[ 85  85  83]
  [164 163 161]
  [164 163 161]
  ...
  [128  98  62]
  [141 111  83]
  [156 127 109]]

 [[127 135 137]
  [211 217 217]
  [230 234 235]
  ...
  [135 103  65]
  [136 105  76]
  [152 124 103]]]",2025-08-14 13:07:24
Unknown,Unknown,Unknown,0.624,"[[[120 115 109]
  [120 113 103]
  [127 118 103]
  ...
  [147 129 105]
  [128 105  87]
  [124  98  83]]

 [[133 126 116]
  [134 125 110]
  [145 132 115]
  ...
  [170 153 125]
  [144 122  99]
  [135 108  91]]

 [[142 134 121]
  [147 134 118]
  [156 139 119]
  ...
  [180 161 131]
  [156 134 110]
  [150 123 104]]

 ...

 [[138 147 156]
  [179 177 178]
  [160 150 140]
  ...
  [175 154 133]
  [193 180 171]
  [184 180 181]]

 [[161 166 170]
  [217 214 209]
  [171 159 143]
  ...
  [171 153 129]
  [214 205 190]
  [246 245 241]]

 [[206 210 211]
  [238 234 225]
  [157 144 125]
  ...
  [177 160 134]
  [194 185 168]
  [242 243 237]]]",2025-08-14 13:07:24
Unknown,Unknown,Unknown,0.053,"[[[ 52  49  42]
  [ 51  42  37]
  [ 40  29  23]
  ...
  [ 91  69  58]
  [ 70  51  44]
  [ 43  30  24]]

 [[ 44  39  33]
  [ 55  46  39]
  [ 54  41  33]
  ...
  [ 91  65  52]
  [ 69  47  36]
  [ 44  27  20]]

 [[ 47  40  34]
  [ 46  35  29]
  [ 42  27  20]
  ...
  [ 65  37  23]
  [ 62  38  26]
  [ 57  38  31]]

 ...

 [[ 97  98  90]
  [137 138 130]
  [144 145 137]
  ...
  [204 194 182]
  [184 175 166]
  [145 140 134]]

 [[ 93  94  88]
  [136 137 131]
  [146 148 143]
  ...
  [206 202 193]
  [154 151 146]
  [146 145 140]]

 [[124 125 119]
  [124 125 119]
  [113 115 110]
  ...
  [199 198 193]
  [148 147 143]
  [138 139 134]]]",2025-08-14 13:07:24
Unknown,Unknown,Unknown,0.506,"[[[125 112 122]
  [107  84  90]
  [ 76  48  47]
  ...
  [171 180 149]
  [181 187 153]
  [185 187 148]]

 [[105  92 101]
  [ 84  62  65]
  [ 73  45  41]
  ...
  [195 203 162]
  [201 207 163]
  [194 198 148]]

 [[ 82  70  74]
  [ 73  52  51]
  [ 99  70  62]
  ...
  [173 179 131]
  [219 226 172]
  [202 208 148]]

 ...

 [[140 121  89]
  [168 150 114]
  [188 170 134]
  ...
  [172 167 163]
  [146 147 149]
  [145 152 160]]

 [[138 114  70]
  [184 162 115]
  [179 156 112]
  ...
  [162 153 144]
  [188 188 188]
  [177 184 190]]

 [[150 120  70]
  [186 156 106]
  [168 140  93]
  ...
  [165 155 143]
  [231 230 226]
  [199 204 210]]]",2025-08-14 13:07:24
Unknown,Unknown,Unknown,0.065,"[[[ 18  11   5]
  [ 16  12   3]
  [ 19  15   4]
  ...
  [ 16  18  17]
  [ 13  13  11]
  [ 12  12  10]]

 [[ 21  11   1]
  [ 20   8   0]
  [ 28  16   0]
  ...
  [ 27  20  14]
  [ 19  14   8]
  [ 16  13   8]]

 [[ 25   8   0]
  [ 34  12   0]
  [ 77  50  23]
  ...
  [ 63  37  20]
  [ 26   8   0]
  [ 19   9   0]]

 ...

 [[ 78  97 104]
  [ 57  71  74]
  [ 65  74  71]
  ...
  [ 95  64  35]
  [107  80  53]
  [ 88  66  43]]

 [[ 37  63  76]
  [  4  23  29]
  [ 37  49  47]
  ...
  [110  76  39]
  [ 88  58  24]
  [ 89  63  36]]

 [[ 76 104 118]
  [134 154 161]
  [135 147 145]
  ...
  [103  68  28]
  [101  71  37]
  [ 87  62  32]]]",2025-08-14 13:07:24
Unknown,Unknown,Unknown,0.232,"[[[ 73  58  39]
  [129 109  85]
  [178 153 123]
  ...
  [119  97  74]
  [ 71  53  33]
  [ 76  62  49]]

 [[ 84  67  49]
  [150 128 104]
  [198 171 142]
  ...
  [167 141 116]
  [ 94  73  52]
  [ 82  66  51]]

 [[100  82  62]
  [160 136 110]
  [197 166 137]
  ...
  [173 146 119]
  [ 98  76  53]
  [ 74  57  41]]

 ...

 [[150 122 110]
  [102  74  60]
  [139 112  95]
  ...
  [134 101  82]
  [121  95  82]
  [176 159 151]]

 [[188 160 148]
  [ 44  15   1]
  [ 79  50  32]
  ...
  [136 105  84]
  [106  80  65]
  [184 167 157]]

 [[218 188 177]
  [ 53  24  10]
  [ 72  41  21]
  ...
  [125  94  73]
  [119  93  76]
  [189 171 159]]]",2025-08-14 13:07:24
Unknown,Unknown,Unknown,0.552,"[[[ 67  51  38]
  [ 57  36  17]
  [ 87  65  41]
  ...
  [ 51  38  22]
  [ 62  50  38]
  [122 112 103]]

 [[ 68  47  30]
  [ 60  34  11]
  [103  76  47]
  ...
  [ 68  52  37]
  [ 63  49  38]
  [102  92  83]]

 [[ 96  71  49]
  [ 98  69  39]
  [121  91  55]
  ...
  [ 65  49  33]
  [ 50  36  23]
  [ 68  55  46]]

 ...

 [[100 108 131]
  [100 102 117]
  [ 93  84  87]
  ...
  [165 123  85]
  [168 141 114]
  [184 170 157]]

 [[ 87  93 117]
  [ 89  88 106]
  [ 78  67  75]
  ...
  [170 126  87]
  [171 141 113]
  [186 170 155]]

 [[ 79  85 107]
  [ 86  83 100]
  [ 82  69  78]
  ...
  [167 124  82]
  [171 140 111]
  [182 165 147]]]",2025-08-14 13:07:24
